Airline,Airport,Serves,Nickname
"Delta Air Lines","Incheon International Airport","Seoul Metro Area",ICN
"Delta Air Lines","Shanghai Pudong International Airport","Shanghai",PVG
"Delta Connection","Southwest Georgia Regional Airport","Albany, Georgia",ABY
"Delta Connection","Alexandria International Airport (Louisiana)","Alexandria, Louisiana",AEX
"Delta Connection","Lehigh Valley International Airport","Lehigh Valley",ABE
"Delta Connection","Appleton International Airport","Appleton, Wisconsin",ATW
"Delta Connection","Asheville Regional Airport","Asheville, North Carolina",AVL
"Delta Connection","Augusta Regional Airport","Augusta, Georgia",AGS
"Delta Connection","Baton Rouge Metropolitan Airport","Baton Rouge, Louisiana",BTR
"Delta Connection","Central Illinois Regional Airport","Bloomington",BMI
"Delta Connection","Brunswick Golden Isles Airport","Brunswick, Georgia",BQK
"Delta Connection","Burlington International Airport","Burlington, Vermont",BTV
"Delta Connection","The Eastern Iowa Airport","Cedar Rapids",CID
"Delta Connection","Yeager Airport","Charleston, West Virginia",CRW
"Delta Connection","Charlottesville–Albemarle Airport","Charlottesville, Virginia",CHO
"Delta Connection","Chattanooga Metropolitan Airport","Chattanooga, Tennessee",CHA
"Delta Connection","Columbia Metropolitan Airport","Columbia, South Carolina",CAE
"Delta Connection","Columbus Metropolitan Airport","Columbus, Georgia",CSG
"Delta Connection","Golden Triangle Regional Airport","Columbus",GTR
"Delta Connection","Dothan Regional Airport","Dothan",DHN
"Delta Connection","Evansville Regional Airport","Evansville, Indiana",EVV
"Delta Connection","Northwest Arkansas Regional Airport","Northwest Arkansas",XNA
"Delta Connection","Fayetteville Regional Airport","North Carolina",FAY
"Delta Connection","Fort Smith Regional Airport","Fort Smith, Arkansas",FSM
"Delta Connection","Destin–Fort Walton Beach Airport","Fort Walton Beach",VPS
"Delta Connection","Fort Wayne International Airport","Fort Wayne, Indiana",FWA
"Delta Connection","Grand Bahama International Airport","Fort Wayne, Indiana",FPO
"Delta Connection","Gainesville Regional Airport","Gainesville, Florida",GNV
"Delta Connection","Exuma International Airport","Great Exuma",GGT
"Delta Connection","Green Bay–Austin Straubel International Airport","Green Bay, Wisconsin",GRB
"Delta Connection","Piedmont Triad International Airport","Greensboro, High Point, and Winston-Salem, North Carolina",GSO
"Delta Connection","Greenville–Spartanburg International Airport","Upstate South Carolina",GSP
"Delta Connection","Gulfport–Biloxi International Airport","Gulfport–Biloxi metropolitan area",GPT
"Delta Connection","George Bush Intercontinental Airport","Greater Houston",IAH
"Delta Connection","Huntsville International Airport","Huntsville, Alabama",HSV
"Delta Connection","Jackson–Medgar Wiley Evers International Airport","Jackson, Mississippi",JAN
"Delta Connection","Albert J. Ellis Airport","Jacksonville, North Carolina",OAJ
"Delta Connection","Key West International Airport","Key West, Florida",EYW
"Delta Connection","McGhee Tyson Airport","Knoxville, Tennessee",TYS
"Delta Connection","Lafayette Regional Airport","Lafayette, Louisiana",LFT
"Delta Connection","Blue Grass Airport","Lexington",LEX
"Delta Connection","Lincoln Airport (Nebraska)","Southeastern and central Nebraska",LNK
"Delta Connection","Dane County Regional Airport","Madison, Wisconsin",MSN
"Delta Connection","Mobile Regional Airport","Mobile, Alabama",MOB
"Delta Connection","Quad City International Airport","Quad Cities, Eastern Iowa, Western Illinois",MLI
"Delta Connection","Monroe Regional Airport (Louisiana)","Monroe, Louisiana",MLU
"Delta Connection","Montgomery Regional Airport","Montgomery, Alabama",MGM
"Delta Connection","Montréal–Pierre Elliott Trudeau International Airport","Greater Montreal",YUL
"Delta Connection","Myrtle Beach International Airport","Myrtle Beach, South Carolina",MYR
"Delta Connection","Coastal Carolina Regional Airport","Craven County",EWN
"Delta Connection","Newport News/Williamsburg International Airport","Virginia Peninsula",PHF
"Delta Connection","Eppley Airfield","Eastern Nebraska and Western Iowa",OMA
"Delta Connection","General Wayne A. Downing Peoria International Airport","Peoria, Illinois",PIA
"Delta Connection","Providenciales International Airport","Peoria, Illinois",PLS
"Delta Connection","Roanoke–Blacksburg Regional Airport","Roanoke Valley",ROA
"Delta Connection","Rochester International Airport","Roanoke Valley",RST
"Delta Connection","Shreveport Regional Airport","Shreveport and Bossier City",SHV
"Delta Connection","Sioux Falls Regional Airport","Sioux Falls, South Dakota",FSD
"Delta Connection","South Bend International Airport","South Bend, Indiana",SBN
"Delta Connection","Springfield–Branson National Airport","Springfield",SGF
"Delta Connection","Tallahassee International Airport","Tallahassee, Florida",TLH
"Delta Connection","Toronto Pearson International Airport","Greater Toronto Area",YYZ
"Delta Connection","Tri-Cities Regional Airport","Tri-Cities, Tennessee",TRI
"Delta Connection","Tulsa International Airport","Tulsa and the surrounding areas",TUL
"Delta Connection","Valdosta Regional Airport","Valdosta, Georgia",VLD
"Delta Connection","Westchester County Airport","Westchester County, New York",HPN
"Delta Connection","Wilmington International Airport","Wilmington, North Carolina",ILM
"Delta Connection","Aspen–Pitkin County Airport","Aspen, Colorado",ASE
"Delta Connection","Elmira Corning Regional Airport","Elmira, New York",ELM
"Delta Connection","Hector International Airport","Fargo, North Dakota",FAR
"Delta Connection","Marsh Harbour Airport","Marsh Harbour",MHH
"Delta Connection","Orlando Melbourne International Airport","Melbourne",MLB
"Delta Connection","North Eleuthera Airport","Melbourne",ELH
"Delta Connection","Rapid City Regional Airport","Rapid City, South Dakota",RAP
"Delta Connection","Cherry Capital Airport","Traverse City, Michigan",TVC
"Frontier Airlines","Denver International Airport","Denver",DEN
"Frontier Airlines","McCarran International Airport","Las Vegas Valley",LAS
"Frontier Airlines","Los Angeles International Airport","Greater Los Angeles Area",LAX
"Frontier Airlines","LaGuardia Airport","New York metropolitan area",LGA
"Frontier Airlines","Salt Lake City International Airport","Utah",SLC
"Frontier Airlines","San Francisco International Airport","San Francisco Bay Area",SFO
"Frontier Airlines","San Jose International Airport","Santa Clara County",SJC
"JetBlue Airways","Logan International Airport","Boston",BOS
"JetBlue Airways","Fort Lauderdale–Hollywood International Airport","Greater Miami",FLL
"KLM","Amsterdam Airport Schiphol","Amsterdam",AMS
"Korean Air","Incheon International Airport","Seoul Metro Area",ICN
"Lufthansa","Frankfurt Airport","Frankfurt",FRA
"Qatar Airways","Hamad International Airport","Doha",DOH
"Southwest Airlines","Austin–Bergstrom International Airport","Greater Austin",AUS
"Southwest Airlines","Baltimore–Washington International Airport","Baltimore–Washington metropolitan area",BWI
"Southwest Airlines","Logan International Airport","Boston",BOS
"Southwest Airlines","Cancún International Airport","Cancún",CUN
