Name, Title
Dmitriy Solodukha,Digital Media Design- Marketing- & Photography
Anthony Kent,Software Engineer
Ronn Marlowe Ranola,Founder BitRocket Capital
Joe Kunzler,I am the Founder and CEO of an energy Blockchain startup called Divvi. We aim to create more equitable renewable energy access using the power of smart contracts and the blockchain.
Adam Taylor,Data Scientist at EY
Joseph King,Sr. Director - CME Ventures
Joe Richards,Daily Trader
Matthew Hale,Designer/Developer/Project Manager
Pragith Prakash,Founder | Token Fest
Brandon Gath,CSO- Blockchain Strategist- Tokenly Inc
Armando Nogueira,Co-Founder & CTO
Alberto Bissacco,Data entry executive
Ryan Colby,Web Developer
Martin Rerak, CMA, CPA,injection molding process technician
Ber’Tram Law Jr.,Logistics Specialist and Istanbul- Turkey. I had 4 years experience in logistics and information technology. I have extensive knowledge of HTML5-CSS3- JavaScript and ASP.NET.
Sathish Narasiman,Project Lead at Agrello Foundation
Lisumi Mondeson,facebook user
Johnny Jakubczyk,Developer Advocate- Program Manager- Writer
Burak Yerli,Marketing Strategist
Hando Rand,Blockchain Projects Marketing Expert
Wong Tsz Ho,Head of Digital and Communications at Save the Children UK- The Start Network
Josh Cincinnati,ICO Strategist and Literary Agent
Munair Simpson,CEO and CO-Funder Meneruwa Design
Igor Kolokoltsev,Engineer- Entrepreneur
Helen James,Senior Java Developer at SURITTEC
Johanna Maaghul,Entrepreneur- Enabler- Founder
Richard Szikoi,artist- engineer- afficionado
Roelof Reineman,Head of Compliance at bitpanda
Kelcio Cajueiro Campos Barreto,Systems Engineer
Chris Weber,Head of Blockchain Tech/Trading
Greg Santos,Chief Technical Officer at Katipult Technology Corp.
Tobias Koller,Co-Founder and CTO at DigiPulse.io
Christoph Jahnke,Cryptocurrency Blockchain  Exper
Nick Grosz,tecnico en sistemas y soporte de computo
Dadler McLean,Lead Developer at Hey Jude App
Dmitry Dementyev-Dedelis,Private Equity Investor & Advisor
Selcuk Can,Technology Director at BlockEx
Don Raul,Computer Science Student- Programmer.
Byron Tudhope,Business Development @ Google
Jose Paul Martin,Software Engineer
Biser Dimitrov,Consultant
Christian Lopez,Cryptocurrency Consultant
Spandana Nakka,Online cryptocurrency trader
Haseeb Qureshi,Chief Business Development Officer at Lykke Corp
Vivek Thakkar,Design Specialst- Bitcoin Owner
Matt Richmond,Founder- Buy Bitcoin Worldwide
Abujai Vincent,Strategy & Operations at Conjoule
Demetrios Zamboglou,Dáat Jewels | President and Chief Executive Officer | CEO at Dáat jewels
Adam Woods,Certified Bitcoin Professional- Crypto Currency Enthusiast
Jordan Tuwiner,CEO of Blocklancer
Arran Kitson,CEO
Andre Nucete,TBD. Previous: Google- Shopify- Busbud- Envoyrs.
Michael Ruiz,Co-Director- Startup Grind Bangalore
Michael Kaiser,clerk
Danyal Manzar,cryptocurrency investor and advisor / chef de projet sécurité LPM at Devoteam
Tim Beiko,Researcher at IC3
Rohith Darisa,Business Development video game industry
brian,Investor @ Grasshopper Capital
david poirier,Graduate Student
Lorenz Breidenbach,Uber Software Engineer
Mike Jones,Web Engineer and Blockchain Consultant at Infinite Internet
Ari Lewis,Investor/trader in all financial markets including blockchain tech
Louis Sherman,Fellow at World Economic Forum
Emad Khan,Accelerator Program Leader
Drew Taylor,Website designer HTML/CSS developer. Participating  in Active ico sales.
Ryan shields,Blockchain Enthusiast
Shailesh Sharda,CTO at Colu
Davide Faraci,CEO
Kavya BK,Founder at Block Venture Project
Alex Vinas Salles,Tech Entrepreneur | Crypto Investor
Rotem Lev,CEO & Co-founder @ Campus Credit
Rüzgar Erik,Sr. Web Developer
Paul Cliffe,Consultant
Joan Torres,CEO | Artist | Blogger
Kenneth Cucchia,Mobile & Blockchain
Lee Quessenberry,Professional Bitcoin Consultant at Bitcoin & Digital Currency Consulting
Bala Chandra,Technology Enthusiast and Mentor
Tony Winchester,Full-Stack Web Developer | Blockchain- ICO- Cryptocurrencies and Trading.
Spencer Montgomery,Head of Distributed Ledger Technology (Blockchain)
Ryan Machara,Producer @ Blockstack Signature Fund
Maurus El,Co-Founder & MD - Stockholm Fintech Hub
Nick Preda,CTO at Novistore
Giuseppe Bertone,Investment Manager at Project A Ventures
xan,Digital Specialist
Alex Meads,Full-Stack Web Developer
Jeroen Visser,Civil Rights Leader
Ha Duong,Finance specialist- IT technician- Entrepreneur
Peter J. Wynne,Founder & Chief Executive Officer @ Silicon Harbor Labs
Ric Ker Leosala Banton,Fintech VC
Alwin Roe,I invest in crypto currency.
Michal Herout,Cartographer
Wayne Scholar,I.T. Consultant
Etienne Brunet,CEO @ Arc4dia
Igor Famin,Software Developer
Martin Hagelstrom,UX Designer & Researcher
Luis Eduardo Veliz,CEO & Founder @ EnterCorporation Co.- Ltd.
Fernando Oliveira,Occupational Mercenary (Independent Contractor)
Pierre Roberge,Strategic Intelligence
Kamlendra Chauhan,Blockchain Strategy & Business Development Professional
Mitchell Wulfman,CEO/Founder
Phuttiporn Hongsurakul,I am an Email responder- a blogger and an article writter at New Media Servic
Tiffanie Bederman,I am a sales specialist from Nepal who can expand the earn.com
Economy Monitor,IT Professional- Cryptocurrency Financial Advisor
Genia Mikhalchenko,Founder & Cryptocurrency Influencer
Michael Brand,Freelance Investor in Digital Currency
Jose Sarbues,Systems Administrator
Ashish Sharma,Programmer
Arturo D'Elia,Investor
Jeff Kirdeikis,Freelance
Nur Abida Binti Khairuddin,Mechatronics Engineer
Zach Bowman,Energy Engineer and investor
Fabian Rosdalen,Product Manager & Growth Hacker
Rohan Pitre,Senior Product Developer at LMTCS
Romero Leonardo Kulungan,Programmer
Manuel Alberto Martinez Arenas,Freelance Programmer
Christoph Knedel,Sr. Bitcoin Trader/Consultant
Yazeed Al Oyoun,IT Support Specialist
Ben Ahrens,Blockchain Specialist
João Nora,Student - Miner - Investor - Trader - Researcher - Author
Murari Przebierała,student
D Miller El,Mr
Terry Collins,Blockchain Business Developer
Sean Brizendine,VC at Toyota AI Ventures
Luke Martin,Actuary
Zafeer Ahmad,Alt coins trader
elmer morales,Trade Bitcoin
Wassim Bendella,IT/Blockchain Technologist/Consultant
Chris Abshire,IT Engineer
Michael Jordan,Bitfury CIO
Eno Nelson,Student
Khalid Al-qahtani,IT Section Head
Oduada Ubabuike,R&D engineer
Gaultier Lecaillon,Pension Supervisor at Aon
Alex Petrov,I'm an investor and trader in cryptocurrency market.
Scott Gilmore,Entrepreneur
Moataz ansary,I am an MBA student
Bao An PHAM HO,borsacı
Thomas Van Leemputten,Managing Director- Zenith Touch Sdn Bhd (Senang.Online) | Deputy Secretary- Persatuan Usahawan dan Industri ICT Bumiputera Malaysia (NEF) | Committee- Access Blockchain-Malaysia
Rushi Khandekar,Founder and Engineer
Sandy Hathaway,Civil Engineer
Jatinder Kumar,USD Mint and USD Trademark Owners
Doğan Tunç,Partner- Creative
David Conroy,Co-Founder @ The Brane & Devsea
M Nasir,Economist
Raman Shalupau,Investor at Lead Edge Capital
ismet semih ates,CEO at Be Structured Technology Group- Inc. and CEO at Perforo- LLC
Richard OBryan,Student and founder
Ben Terry,Transmedia StoryTelling
Nicolas Benjamin,Married- father and work as systems analyst
Eulice Palencia,Project Manager & CFO at ARK Blockchain
William McDonald,Junior QA Specialist at Under Development Office
Chad Lauterbach,Senior Software Engineer at Check24
Daniel mariorenzi,Customer Support Officer
Phil Campbell,Entrepreneur / Investor / Blockchain
Muriel Russo Lima,Founder Partner Crowd Mentor Network
Lars Rensing,Director of Big Data / AI /Digital Products / New Tech (Blockchain and Bitcoin)
Stanciu Florin Alexandru,Co-CIO
Marcus Puchalla,Open for business.
Jimi Swann,Blockchain Advocate | Currently Security Engineer at Apple
Ouriel Ohayon,Developer- cryptographer- economist.
Michael Gebert,Crypto-currency enthusiast-cryptotrader
Trishul Patel,Blockchain Researcher
Emad Mostaque,Insurance Manager
Michael Musgrove,Software Engineer
Himanshu Shah,VP- Business Development at Ijji- Inc
Prahalad Belavadi,Customer Engineer at NCR Corporation
Kostas Labrinos,IP Legal specialist
Rahul Acharya,Sales Operations Coordinator/Business Analyst at du
rupai babu majhi,Vice President- GVA Capital
Drew Bowie,Marketing specialist- cryptocurrencies investor
Edward Kim,Full stack Web Developer
 CHUKWUEKE ONYINYECHI LEVI ,Digital Currencies Lover
Alessio Balbo,Learner of Cryptocurrencies
Aswin prasannakumar,CEO/President
Nikolai Oreshkin,A student of psychology
Dima Basov,CEO- BCT.org -Investing-Fund Management -Trader.
Fransesco Malila,Lead Developer
Chandan Choudhary,Managing Partner
Henry Lim,Computer Operator @ KRAUN COMM LTD
Ume Ibem  Udo,CEO- Founder- Information and Cyber Security Consultant
Ebeyi Rose,Mechanical Ingenieer - Cryptocoins investor
Rahul Kumar,I.T. personnel
Ali Mousa,Cook food
Nurzhas Makishev,Customs Examining Officer at Royal Brunei Customs and Excise Department
NWOKO GOSPEL ISAAC,IT Expert
Leonardo Goldim,CEO at SpringRole Inc.
Lautaro Actis,Chief Operating Officer
